STT,Người thực thiện,Tính năng,Tiến độ,Ghi chú,Công việc đã thực hiện,Kế hoạch tuần tới
1,Đức Anh + Quang,Chức năng quản lý License,90%,Hoàn thành,"Xây dựng cơ sở dữ liệu để lưu trữ thông tin License. Triển khai WarningService cho License. Từ license đã tạo các thông báo nhắc đến ngày hết hạn, rồi lên lịch gửi cho người dùng.",
2,Hoàng Long + Đức Anh,Chức năng Báo cáo,70%,Đang hoàn thiện FE/export,"Hoàn thiện backend báo cáo đầu tư, công việc gói thầu và thanh toán hợp đồng; tách controller báo cáo/cảnh báo; có API dữ liệu và export xlsx/csv/html. FE đã có màn hình báo cáo đầu tư cơ bản.","Nối frontend với API export, bổ sung báo cáo thanh toán hợp đồng, kiểm tra file xuất và phân quyền báo cáo."
3,Đức Anh + Quang,Chức năng quản lý Dự án,100%,Hoàn thành,Đã hoàn thiện thêm các trường phân loại cho Dự án. Refactor DuAnDto.,
4,Quang,Danh mục hàng hóa/ Dịch vụ,100%,Hoàn thành,"Bổ sung thêm Hàng hóa và Dịch vụ phục vụ lưu trữ thông tin cho chức năng quản lý Hợp Đồng. Cập nhật CSDL Hàng hóa, Dịch vụ và danh mục.",
5,Hoàng Long,Các vấn đề phát sinh,60%,"Đã rà soát, cần xử lý tiếp","Rà soát và xử lý phát sinh API: phân quyền User/Report, payload cập nhật hợp đồng, seed dữ liệu theo config, lỗi route conflict; bổ sung Swagger, filter/pagination/cache.","Hoàn thiện phân quyền User/Report, payload hợp đồng, seed theo môi trường và kiểm thử hồi quy các luồng chính."
6,Quang,Chức năng Công việc Gói thầu & Chuyển tiếp công việc,100%,Hoàn thành,Hoàn thiện chức năng Công việc Gói thầu & Chuyển tiếp công việc.,
7,Đức Anh,Giao diện,100%,Hoàn thành,"Hoàn thành giao diện quản lý dự án triển khai, gói thầu, hợp đồng và lịch trình thanh toán của dự án. Chức năng thêm danh mục hàng hoá và dịch vụ, đánh dấu mục có License, nhắc cảnh báo License",
8,Đức Anh,Giao diện,50%,Đang thực hiện,"Đang thực hiện giao diện phần yêu cầu quyền xem dự án, gói thầu, hợp đồng","Hoàn thành giao diện. Nghiên cứu giao diện của tạo yêu cầu quyền xem, sửa của người khác tới người tạo công việc."
